Votes,Joseph R. Biden & Kamala D. Harris,Donald J. Trump & Michael R. Pence
762,664,77
605,535,53
845,763,69
840,731,95
776,690,72
665,558,95
497,437,49
669,592,68
510,435,63
922,798,102
844,758,69
879,727,135
359,313,30
725,647,70
644,537,89
777,677,81
627,556,59
699,637,48
823,740,60
543,499,36
1080,965,88
488,427,46
906,814,65
652,573,56
687,614,58
477,416,54
796,687,93
247,204,37
935,829,84
800,698,83
665,572,82
693,577,100
827,692,121
562,516,34
898,764,113
828,714,93
754,631,109
701,629,58
613,527,75
689,562,113
409,375,25
221,191,24
462,404,51
653,586,48
831,727,87
514,387,118
844,745,81
748,662,72
882,772,89
780,664,102
696,607,72
925,806,96
720,556,147
537,367,163
727,554,161
622,540,70
594,469,116
751,636,102
695,614,69
701,621,71
814,688,113
667,520,135
488,362,124
967,776,170
764,680,70
788,639,131
469,368,96
685,574,98
833,726,88
667,535,121
648,442,193
835,665,148
812,628,169
603,460,132
808,642,154
619,464,139
1000,758,225
522,391,124
981,765,196
820,625,184
607,479,121
660,493,158
500,331,160
1026,798,211
872,646,204
810,622,170
985,728,237
423,324,90
852,678,155
419,329,79
820,789,29
644,625,17
556,470,82
659,636,15
358,319,28
949,788,145
391,370,19
489,460,20
668,636,22
314,298,13
648,617,25
581,551,21
779,675,97
762,663,86
570,543,22
475,452,18
955,872,73
879,809,54
829,667,144
647,615,21
729,610,110
951,790,147
533,488,38
517,490,21
1216,990,210
770,648,111
862,674,178
381,351,25
666,633,25
532,512,14
692,662,22
1096,944,126
864,741,104
1034,895,122
319,299,16
293,281,8
530,510,16
448,430,14
1342,1152,171
683,610,63
518,462,51
935,872,44
899,782,99
518,497,17
811,762,39
636,603,24
739,674,61
774,736,27
696,652,27
667,637,29
785,753,19
638,611,18
779,751,24
948,807,114
633,590,40
692,657,29
1202,1023,161
810,709,87
598,570,20
525,492,28
570,469,89
792,685,94
634,591,33
805,767,24
605,568,29
890,766,108
570,542,24
862,818,35
573,527,41
600,578,16
861,829,27
592,551,32
686,646,27
602,572,21
570,527,27
719,669,45
766,724,34
1281,1117,146
677,645,26
556,528,18
447,432,13
646,603,25
781,743,25
556,529,19
469,432,31
615,573,33
656,617,30
722,685,26
496,476,15
606,566,29
377,347,24
518,494,17
463,449,10
610,570,27
559,537,15
495,469,22
562,535,16
571,531,31
648,609,31
614,579,26
705,665,31
1063,983,64
749,703,36
530,505,17
566,535,26
656,598,44
596,557,28
610,581,21
383,364,15
444,424,17
637,608,20
625,609,13
672,622,40
773,724,38
378,358,15
634,593,29
558,533,20
528,478,41
452,418,23
287,277,8
492,478,14
469,449,16
506,488,17
367,349,13
332,314,15
546,521,17
466,447,16
477,465,9
470,452,12
364,346,13
399,378,19
379,348,26
359,344,11
442,427,11
427,400,21
497,477,15
343,318,21
382,372,5
412,396,13
311,300,9
243,227,11
314,294,17
279,261,14
267,245,17
256,242,13
373,348,15
292,277,11
247,235,10
484,463,14
397,372,17
457,441,13
445,423,19
459,430,25
478,473,4
433,412,16
512,499,10
481,452,24
502,485,11
407,392,12
421,409,11
473,447,22
480,458,14
445,423,14
551,526,23
470,457,11
353,345,6
348,331,13
464,446,15
475,451,18
484,453,23
453,437,12
438,423,11
436,403,28
585,557,19
460,435,21
365,334,27
765,722,36
508,492,11
525,505,15
463,434,22
312,301,9
537,503,29
438,430,6
450,413,29
358,342,14
453,421,25
422,402,14
361,345,12
345,320,19
402,373,25
414,402,10
383,363,16
385,339,38
342,322,16
361,350,4
360,333,21
393,371,17
352,327,22
332,297,29
549,526,20
543,524,16
541,518,17
477,448,21
533,510,19
463,437,22
384,372,9
403,394,8
383,369,8
422,404,12
397,389,7
423,402,19
389,370,13
475,448,21
175,167,5
408,384,15
440,419,16
498,485,9
506,496,7
487,473,7
452,430,18
513,483,28
454,438,13
297,286,11
556,531,21
381,361,14
402,381,19
534,509,17
402,380,16
430,407,16
152,142,9
396,383,7
452,423,27
494,474,17
531,513,13
596,574,19
425,402,16
380,368,10
262,252,7
469,440,24
423,407,12
510,484,22
